"flux","G variance","E variance","G-by-E varicane","residual","G%","E%","GxE%","e%","h2"
"X235","1.0027935167973e-08","3.8875506129237e-08","6.46323707170743e-09","9.63413342760105e-09","0.154273998905812","0.598077240187933","0.0994331746492681","0.148215586256987","0.184781226811559"
"X236","2.85338650478242e-08","1.10621499489452e-07","1.83987785093004e-08","2.7403710915245e-08","0.154272254119655","0.598090306088252","0.0994755189638944","0.148161920828199","0.184777466631601"
"X237","1.0027935167973e-08","3.8875506129237e-08","6.46323707170743e-09","9.63413342760105e-09","0.154273998905812","0.598077240187933","0.0994331746492681","0.148215586256987","0.184781226811559"
"X238","8.48941227773739e-09","3.29130738320864e-08","5.46846993334624e-09","8.15877818091115e-09","0.154269548952726","0.598096180113542","0.0993730028038773","0.148261268129855","0.184773759021351"
"X239","2.95404004639471e-08","1.1451953973814e-07","1.89705621376104e-08","2.84455685422201e-08","0.154277243771962","0.598087997161607","0.0990753677482209","0.14855939131821","0.184783047384352"
"X240","2.95404004639471e-08","1.1451953973814e-07","1.89705621376104e-08","2.84455685422201e-08","0.154277243771962","0.598087997161607","0.0990753677482209","0.14855939131821","0.184783047384352"
"X241","2.95412428500232e-08","1.14503793579911e-07","1.90356594669094e-08","2.83797583701692e-08","0.154294227302024","0.598054538302843","0.0994234529516057","0.148227781443527","0.184805820318953"
"X242","2.95412428500232e-08","1.14503793579911e-07","1.90356594669094e-08","2.83797583701692e-08","0.154294227302024","0.598054538302843","0.0994234529516057","0.148227781443527","0.184805820318953"
"X243","1.00837804476531e-08","3.90924382081791e-08","6.49566285322376e-09","9.68962254167573e-09","0.154277056412692","0.598095756453779","0.0993805596667729","0.148246627466757","0.184781705768082"
"X244","7.27107830022572e-05","0.000325712134020895","5.57598201235848e-05","6.93604768101215e-05","0.138882103833837","0.622130371166906","0.106504713722026","0.132482811277231","0.165203088693181"
"X245","0.0373097663751017","0.128197835811716","0.0286945703236201","0.0329455013655786","0.164253349983528","0.564381019731199","0.126325618193574","0.145040012091698","0.200531607326351"
"X246","2.8533868901848e-08","1.10621559265347e-07","1.83987972325329e-08","2.74036886615246e-08","0.154272224828392","0.598090434933822","0.0994755878704372","0.148161752367348","0.184777416859846"
"X247","1.0027784695584e-08","3.88755164606337e-08","6.45817495823549e-09","9.63903382876348e-09","0.154272400391075","0.598080176518533","0.0993557583452382","0.148291664745153","0.184779114806194"
"X248","8.48941227773739e-09","3.29130738320864e-08","5.46846993334624e-09","8.15877818091115e-09","0.154269548952726","0.598096180113542","0.0993730028038773","0.148261268129855","0.184773759021351"
"X249","2.95412428500232e-08","1.14503793579911e-07","1.90356594669094e-08","2.83797583701692e-08","0.154294227302024","0.598054538302843","0.0994234529516057","0.148227781443527","0.184805820318953"
"X250","2.95404004639471e-08","1.1451953973814e-07","1.89705621376104e-08","2.84455685422201e-08","0.154277243771962","0.598087997161607","0.0990753677482209","0.14855939131821","0.184783047384352"
